Company,Title,GNA Persona,GNA Industry
Federal Mogul,Customer Director - Heavy Duty,Technology Provider,Agriculture; Construction; Engine; Engineering; Equipment; Heavy Duty; Natural Gas; Oilfield Services; Power Generation
A&M Engineering & Environmental Services,President,"Fleet (Marine, Rail, Mining, E&P)",Construction::End User::Fleet::Oilfield Services::Pipeline
A&M Engineering & Environmental Services,Engineering VP,"Fleet (Marine, Rail, Mining, E&P)",Construction::End User::Fleet::Oilfield Services::Pipeline
All Consulting,Project Manager & Environmental Engineer,Consultant,Construction::Drilling::E&P::Engineering::Oilfield Services
All Consulting,Managing Partner,Consultant,Construction::Drilling::E&P::Engineering::Oilfield Services
Granite Construction,Equipment Superintendent,Fleet (On-Road),Construction::Power Generation
Teichert Construction,Environmental Compliance Specialist,Fleet (On-Road),Concrete/Asphalt::Construction::Engineering::Heavy Duty
Black & Veatch,Technology Manager/ Thermal Performance Section Leader,Consultant,Construction::Consultant::E&P::Engineering::Equipment::Natural Gas::Pipeline
Black & Veatch,Unknown,Consultant,Construction::Consultant::E&P::Engineering::Equipment::Natural Gas::Pipeline
Black & Veatch,Procurement Manager,Consultant,Construction::Consultant::E&P::Engineering::Equipment::Natural Gas::Pipeline
Black & Veatch,Unknown,Consultant,Construction::Consultant::E&P::Engineering::Equipment::Natural Gas::Pipeline
Black & Veatch,"Marketing Analyst, Energy",Consultant,Construction::Consultant::E&P::Engineering::Equipment::Natural Gas::Pipeline
Weeks Marine,Maintenance Engineer,"Fleet (Marine, Rail, Mining, E&P)",Construction::End User::LMV::Marine::Off Road
Weeks Marine,Estimating Manager,"Fleet (Marine, Rail, Mining, E&P)",Construction::End User::LMV::Marine::Off Road
Asrc Energy Services,SVP & CFO,"Fleet (Marine, Rail, Mining, E&P)",Construction::E&P::End User::Fleet::LMV::Manufacturer::Marine::Oilfield Services
Asrc Energy Services,Regulatory & Technical Services General Manager,"Fleet (Marine, Rail, Mining, E&P)",Construction::E&P::End User::Fleet::LMV::Manufacturer::Marine::Oilfield Services
Trinity Industries,Vice President Railroads Sales & Leasing,Technology Provider,Construction::Engineering::Equipment::Fleet Management::Industrial::LNG::Marine::Natural Gas::Propane::Rail::Storage
Stanley Black & Decker,VP & Stanley Asia Pres,Fleet (On-Road),Construction::E&P::Equipment::Manufacturer
Stanley Black & Decker,SVP Construction & DIY Group Pres,Fleet (On-Road),Construction::E&P::Equipment::Manufacturer
Stanley Black & Decker,President,Fleet (On-Road),Construction::E&P::Equipment::Manufacturer
Stanley Black & Decker,Vice President Corporate Controller,Fleet (On-Road),Construction::E&P::Equipment::Manufacturer
Stanley Black & Decker,President & COO,Fleet (On-Road),Construction::E&P::Equipment::Manufacturer
Stanley Black & Decker,Latin America Pres,Fleet (On-Road),Construction::E&P::Equipment::Manufacturer
Stanley Black & Decker,"Construction & DIY, Europe, Australia & New Zealand Pres",Fleet (On-Road),Construction::E&P::Equipment::Manufacturer
Stanley Black & Decker,Chair & CEO,Fleet (On-Road),Construction::E&P::Equipment::Manufacturer
AMCOL International Corporation,VP & CFO,"Fleet (Marine, Rail, Mining, E&P)",Construction::Drilling::E&P::End User::Goods Movement::Marine::Mining::OGV::Oilfield Services
Accurate Air Systems,,Fleet (On-Road),Construction::Fleet::Power Generation
Honeywell,Regional Sales Manager,Fleet (On-Road),Chemical Producer::Construction::E&P::Home Services::Manufacturer::Power Generation::Telecomm
Honeywell,Project Engineer Manager,Fleet (On-Road),Chemical Producer::Construction::E&P::Home Services::Manufacturer::Power Generation::Telecomm
Trinity Industries,President,Technology Provider,Construction::Engineering::Equipment::Fleet Management::Industrial::LNG::Marine::Natural Gas::Propane::Rail::Storage
Kinley Construction Group,Vice President,Consultant,Construction::Power Generation
American Track Generations,President,Technology Provider,Construction::Engineering::Power Generation::Rail
Sunbelt Rentals,Director of Rail Services,Fleet (On-Road),Construction::Fleet Management::Power Generation::Rental Company
Wheeler CAT,Truck/Shovel/Drill Product Manager,Technology Provider,Construction::Dealer::Equipment::Heavy Duty::Medium Duty::Off Road::Rental Company::Service Garage
Sunbelt Rentals,District Manager South Houston,Fleet (On-Road),Construction::Fleet Management::Power Generation::Rental Company
Hulcher Services,President,Fleet (On-Road),Carrier::Construction::Equipment::Private::Rail
Helmuth Quality Power Systems,Owner,Technology Provider,Construction::Engine::Equipment
Federal Mogul,Senior Account Manager,Technology Provider,Agriculture; Construction; Engine; Engineering; Equipment; Heavy Duty; Natural Gas; Oilfield Services; Power Generation
Federal Mogul,Applications Engineer,Technology Provider,Agriculture; Construction; Engine; Engineering; Equipment; Heavy Duty; Natural Gas; Oilfield Services; Power Generation
Federal Mogul,Director Ignition Applications Engineering,Technology Provider,Agriculture; Construction; Engine; Engineering; Equipment; Heavy Duty; Natural Gas; Oilfield Services; Power Generation
Federal Mogul,Application Engineer - HD Piston,Technology Provider,Agriculture; Construction; Engine; Engineering; Equipment; Heavy Duty; Natural Gas; Oilfield Services; Power Generation
Federal Mogul,Director Engineering & Technology,Technology Provider,Agriculture; Construction; Engine; Engineering; Equipment; Heavy Duty; Natural Gas; Oilfield Services; Power Generation
Federal Mogul,Manager Global Technology Steel Pistons,Technology Provider,Agriculture; Construction; Engine; Engineering; Equipment; Heavy Duty; Natural Gas; Oilfield Services; Power Generation
Federal Mogul,Director Application Engineering MD/ HD/EIT,Technology Provider,Agriculture; Construction; Engine; Engineering; Equipment; Heavy Duty; Natural Gas; Oilfield Services; Power Generation
Federal Mogul,Commercial Vehicle Account Manager,Technology Provider,Agriculture; Construction; Engine; Engineering; Equipment; Heavy Duty; Natural Gas; Oilfield Services; Power Generation
BakerCorp,Operations Manager,Fleet (On-Road),Construction::Equipment::Home Services::Power Generation::Rental Company::Tank
Penhall Company,Company Representative,Fleet (On-Road),Concrete/Asphalt::Construction::Power Generation
State Building & Construction Trade Council of Califronia,Unknown,Industry/Trade Group,Construction::Power Generation
WorleyParsons,VP - Manager of Projects,Fuel Supplier,Construction::Engineering::Power Generation
WorleyParsons,Unknown,Fuel Supplier,Construction::Engineering::LNG::Power Generation::Terminal
Marubeni,Vice President & General Manager- Energy Department,Consultant,Transportation Consultant::Engineering::Consultant::Construction
Weeks Marine,Senior Estimator,"Fleet (Marine, Rail, Mining, E&P)",Construction::End User::LMV::Marine::Off Road
Weeks Marine,Preconstruction Services,"Fleet (Marine, Rail, Mining, E&P)",Construction::End User::LMV::Marine::Off Road
Weeks Marine,Assistant  Vice President,"Fleet (Marine, Rail, Mining, E&P)",Construction::End User::LMV::Marine::Off Road
Mustang Cat,PSSR Petroleum,Technology Provider,Construction::Dealer::Equipment::Heavy Duty::Medium Duty::Off Road::Service Garage
Gulf Publishing Company,Director Data,Media,Construction::Consultant::Engineering::Planning
American European Consulting Company (AECC),Senior Consultant,Fleet (On-Road),Construction::Fleet::Heavy Duty
Mustang Cat,General Sales Manager - Exploration,Technology Provider,Construction::Dealer::Equipment::Heavy Duty::Medium Duty::Off Road::Service Garage
Mustang Cat,Well Service Sales Representative,Technology Provider,Construction::Dealer::Equipment::Heavy Duty::Medium Duty::Off Road::Service Garage
Mustang Cat,Sales Manager,Technology Provider,Construction::Dealer::Equipment::Heavy Duty::Medium Duty::Off Road::Service Garage
Mustang Cat,Drilling Sales Representative,Technology Provider,Construction::Dealer::Equipment::Heavy Duty::Medium Duty::Off Road::Service Garage
GTT North America,General Manager,Technology Provider,Construction::Engineering::Fuel System::LNG::Mining::Natural Gas::Station Builder/Seller::Storage::Tank
GTT North America,Business Development Manager,Technology Provider,Construction::Engineering::Fuel System::LNG::Mining::Natural Gas::Station Builder/Seller::Storage::Tank
GTT North America,Commercial Assistant,Technology Provider,Construction::Engineering::Fuel System::LNG::Mining::Natural Gas::Station Builder/Seller::Storage::Tank
Amerapex Corporation,President & CEO,"Fleet (Marine, Rail, Mining, E&P)",Biodiesel::Construction::Consultant::Downstream::End User::Midstream::Oilfield Services::Pipeline::Water
Amerapex Corporation,COO,"Fleet (Marine, Rail, Mining, E&P)",Biodiesel::Construction::Consultant::Downstream::End User::Midstream::Oilfield Services::Pipeline::Water
Sunbelt Rentals,"Manager, Transportation Services",Fleet (On-Road),Construction::Fleet Management::Power Generation::Rental Company
Ledcor Group,Regional Manager,"Fleet (Marine, Rail, Mining, E&P)",Construction::End User::Engineering::Goods Movement::LMV::Marine::Mining::Oilfield Services
Ledcor Group,"Vice President, Operations","Fleet (Marine, Rail, Mining, E&P)",Construction::End User::Engineering::Goods Movement::LMV::Marine::Mining::Oilfield Services
Ledcor Group,Regional Operations Manager,"Fleet (Marine, Rail, Mining, E&P)",Construction::End User::Engineering::Goods Movement::LMV::Marine::Mining::Oilfield Services
Ledcor Group,"Regional Director, Field Operations","Fleet (Marine, Rail, Mining, E&P)",Construction::End User::Engineering::Goods Movement::LMV::Marine::Mining::Oilfield Services
Great Lakes Dredge & Dock,Plant Equipment VP & Chief Mech Engineer,Technology Provider,Construction::End User::Marine::Power Generation
Great Lakes Dredge & Dock,Senior Project Engineer,Technology Provider,Construction::End User::Marine::Power Generation
Pivotal LNG,"Manager, Supply & Structuring",Fuel Supplier,CNG::Construction::Fleet::Fuel::Fuel System::Gas Distributor::LNG::Natural Gas::Station Builder/Seller::Utilities
All Consulting,Project Manager & Geological Engineer,Consultant,Construction::Drilling::E&P::Engineering::Oilfield Services
Trinity Industries,"Vice President, Tank Barge Sales",Technology Provider,Construction::Engineering::Equipment::Fleet Management::Industrial::LNG::Marine::Natural Gas::Propane::Rail::Storage
Trinity Industries,Vice President - Trinity Marine Products,Technology Provider,Construction::Engineering::Equipment::Fleet Management::Industrial::LNG::Marine::Natural Gas::Propane::Rail::Storage
Honeywell,Engineer,Fleet (On-Road),Chemical Producer::Construction::E&P::Home Services::Manufacturer::Power Generation::Telecomm
Honeywell,Engineer,Fleet (On-Road),Chemical Producer::Construction::E&P::Home Services::Manufacturer::Power Generation::Telecomm
"Gresham, Smith and Partners",Executive Vice President,,Construction::Power Generation
Affiliated Construction Services (ACS),Business Development,Technology Provider,Construction::Engineering::Equipment::Power Generation
Affiliated Construction Services (ACS),"Director, Systems & Equipment",Technology Provider,Construction::Engineering::Equipment::Power Generation
Puckett Machinery,General Service Manager,Technology Provider,Construction::Dealer::Equipment::Heavy Duty::Medium Duty::Off Road::Service Garage
Puckett Machinery,President & General Manager,Technology Provider,Construction::Dealer::Equipment::Heavy Duty::Medium Duty::Off Road::Service Garage
O-Tex Pumping,President & CEO,Infrastructure Developer,Concrete/Asphalt::Construction::E&P::Oilfield Services
Wartsila,Marketing Manager North America,Technology Provider,Construction::Engine::Engineering::Equipment::Fuel System::LMV::LNG::Marine::Natural Gas::OGV::Oilfield Services::Power Generation::Station Builder/Seller
Teichert Construction,Project Engineer,Fleet (On-Road),Concrete/Asphalt::Construction::Power Generation
Shasta Builders Exchange,Chief Executive Officer,,Construction::Power Generation
Mustang Cat,Petroleum Engine Product Support Representative,Technology Provider,Construction::Dealer::Equipment::Heavy Duty::Medium Duty::Off Road::Service Garage
URS Corporation,Unknown,Infrastructure Developer,Construction::Consultant::E&P::Engineering::Oilfield Services
Wagner Equipment,Used Engine Sales Manager,Technology Provider,Construction::Dealer::Equipment::Heavy Duty::Medium Duty::Off Road::Rental Company::Service Garage
Wagner Equipment,NM & TX Truck Engine Service Manager,Technology Provider,Construction::Dealer::Equipment::Heavy Duty::Medium Duty::Off Road::Rental Company::Service Garage
Audubon Companies,Vice President Corporate Sales,"Fleet (Marine, Rail, Mining, E&P)",Construction::E&P::Engineering::Oilfield Services
Eustis Engineering Services,President,"Fleet (Marine, Rail, Mining, E&P)",Construction::Engineering::Marine::Power Generation
Duhon Machinery,Unknown,Technology Provider,Construction::Dealer::Off Road
Agrico Sales,VP Sales,Please Select,Construction::Power Generation::Storage
Agrico Sales,President,Fleet (On-Road),Construction::Power Generation::Storage
Wood Resources,Wood Towing / Land & Development,"Fleet (Marine, Rail, Mining, E&P)",Construction::End User::Fleet::Goods Movement::LMV::Marine
Wood Resources,President,"Fleet (Marine, Rail, Mining, E&P)",Construction::End User::Fleet::Goods Movement::LMV::Marine
Whayne Supply Company,Marine Sales,Technology Provider,Construction::Dealer::Equipment::Heavy Duty::Medium Duty::Off Road::Rental Company::Service Garage
McGeorge Contracting,Equipment Superintendent,,Construction::Power Generation
McGeorge Contracting,Engineer,,Construction::Power Generation
UC Riverside,Unknown,Fleet (On-Road),Construction::Power Generation
O-Tex Pumping,District Manager,Infrastructure Developer,Concrete/Asphalt::Construction::E&P::Oilfield Services
Action Energy Services Inc,President & CEO,"Fleet (Marine, Rail, Mining, E&P)",Construction::E&P::End User::Oilfield Services::Pipeline
Action Energy Services Inc,CFO,"Fleet (Marine, Rail, Mining, E&P)",Construction::E&P::End User::Oilfield Services::Pipeline
Warren CAT,General Manager of Power Systems,Technology Provider,Construction::Dealer::Equipment::Heavy Duty::Medium Duty::Off Road::Rental Company::Service Garage
Warren CAT,Product Support Sales Manager,Technology Provider,Construction::Dealer::Equipment::Heavy Duty::Medium Duty::Off Road::Rental Company::Service Garage
Warren CAT,Product Support Manager,Technology Provider,Construction::Dealer::Equipment::Heavy Duty::Medium Duty::Off Road::Rental Company::Service Garage
CH2M HILL,Senior Project Manager,Fuel Supplier,Construction::Consultant::Engineering
Bullock Construction,President,Consultant,Construction::Consultant::Engineering::Fleet::Heavy Duty::Service Garage::PRIVATE FLEET
Sullivan Interests,Co-Owner,"Fleet (Marine, Rail, Mining, E&P)",Construction::End User::LMV::Marine
Sullivan Interests,Co-Owner,"Fleet (Marine, Rail, Mining, E&P)",Construction::End User::LMV::Marine
RL Burns,Unknown,,Construction::Power Generation
Turbine Technology Services,VP International Sales,Technology Provider,Construction::Engineering::Equipment::Power Generation
Terracon,Drilling Manager,Fleet (On-Road),Construction::E&P::Engineering
Parsons Brinckerhoff,Senior Supervising Engineer,Consultant,Construction::E&P::Engineering
A K Drilling,CEO,"Fleet (Marine, Rail, Mining, E&P)",Construction::Drilling::End User::Oilfield Services
AFFCO,"President, Founder",Technology Provider,Construction::Engineering::Equipment::Mining
Ashgrove Cement,Plant Manager,Fleet (On-Road),Concrete/Asphalt::Construction::End User::Fleet::Mining
Allied Steel Constructio,VP & GM,"Fleet (Marine, Rail, Mining, E&P)",Construction::Drill Rig::End User::Equipment::Fleet::Oilfield Services
Kiewit,Systems Manager,Fleet (On-Road),Construction::End User::Engineering::Equipment::E&P::Heavy Duty::Mining::Power Generation
Kiewit,Equipment Manager,Fleet (On-Road),Construction::End User::Engineering::Equipment::E&P::Heavy Duty::Mining::Power Generation
Kiewit,Equipment Manager,Fleet (On-Road),Construction::End User::Engineering::Equipment::E&P::Heavy Duty::Mining::Power Generation
Louisiana CAT,Marine Engine Sales Trainee,Technology Provider,Construction::Dealer::Equipment::Heavy Duty::Medium Duty::Off Road::Service Garage
Broussard Brothers,Operations Manager,"Fleet (Marine, Rail, Mining, E&P)",Construction::End User::LMV::Marine::Pipeline
Louisiana CAT,Parts & Service Sales Representative,Technology Provider,Construction::Dealer::Equipment::Heavy Duty::Medium Duty::Off Road::Service Garage
Sunland Construction,Pres,Fleet (On-Road),Construction::E&P::Energy Efficiency::Pipeline::Utilities
Sunland Construction,Opers Support,Fleet (On-Road),Construction::E&P::Energy Efficiency::Pipeline::Utilities
Louisiana CAT,Petroleum Engine Sales,Technology Provider,Construction::Dealer::Equipment::Heavy Duty::Medium Duty::Off Road::Service Garage
Louisiana CAT,Petroleum Business Manager,Technology Provider,Construction::Dealer::Equipment::Heavy Duty::Medium Duty::Off Road::Service Garage
Miller Pipeline,Business Development,Fleet (On-Road),Construction::Power Generation
International Right Of Way Association - IRWA,Marketing Materials,Industry/Trade Group,Construction::Engineering
International Right Of Way Association - IRWA,Info Services Manager,Industry/Trade Group,Construction::Engineering
International Right Of Way Association - IRWA,EVP,Industry/Trade Group,Construction::Engineering
International Right Of Way Association - IRWA,Controller,Industry/Trade Group,Construction::Engineering
Pacifc Alpine,General Contractor,,Construction::Power Generation
Archer Construction Inc,Pinedale GM (Pinedale WY),"Fleet (Marine, Rail, Mining, E&P)",Construction::End User::Pipeline
Archer Construction Inc,Owner,"Fleet (Marine, Rail, Mining, E&P)",Construction::End User::Pipeline
Archer Construction Inc,GM,"Fleet (Marine, Rail, Mining, E&P)",Construction::End User::Pipeline
Kiewit,General Mine Manager,Fleet (On-Road),Construction::End User::Engineering::Equipment::E&P::Heavy Duty::Mining::Power Generation
Kiewit,Maintenance Coordinator- Buckskin Mine,Fleet (On-Road),Construction::End User::Engineering::Equipment::E&P::Heavy Duty::Mining::Power Generation
Wyoming Machinery Company,Product Support,Technology Provider,Construction::Dealer::Equipment::Heavy Duty::Medium Duty::Off Road::Rental Company::Service Garage
Wyoming Machinery Company,Product Support,Technology Provider,Construction::Dealer::Equipment::Heavy Duty::Medium Duty::Off Road::Rental Company::Service Garage
Wyoming Machinery Company,Director of Gillette Product Support,Technology Provider,Construction::Dealer::Equipment::Heavy Duty::Medium Duty::Off Road::Rental Company::Service Garage
Bar S Services,President,"Fleet (Marine, Rail, Mining, E&P)",Construction::Drill Rig::Fleet::Oilfield Services
Wyoming Machinery Company,Vice President of Product Support,Technology Provider,Construction::Dealer::Equipment::Heavy Duty::Medium Duty::Off Road::Rental Company::Service Garage
Wyoming Machinery Company,Vice President of Mining,Technology Provider,Construction::Dealer::Equipment::Heavy Duty::Medium Duty::Off Road::Rental Company::Service Garage
Advanced Hydraulic & Machine,President,Technology Provider,Construction::E&P::Industrial::Manufacturer::Service Garage
MEC Construction,Unknown,Consultant,Construction::Power Generation
Johns Manville,Market Leader,Technology Provider,Construction::Equipment::Power Generation
Kiewit,"Vice President, Midstream",Fleet (On-Road),Construction::End User::Engineering::Equipment::E&P::Heavy Duty::Mining::Power Generation
Wagner CAT,Major Accounts Manager,Technology Provider,Construction::Dealer::Equipment::Heavy Duty::Medium Duty::Off Road::Rental Company::Service Garage
AECOM,Vice President,Consultant,Construction::Consultant::E&P::Engineering::Oilfield Services
Wartsila,Business Development - Canada,Technology Provider,Construction::Engine::Engineering::Equipment::Fuel System::LMV::LNG::Marine::Natural Gas::OGV::Oilfield Services::Power Generation::Station Builder/Seller
Wartsila,"Sales Manager, Marine Solutions",Technology Provider,Construction::Engine::Engineering::Equipment::Fuel System::LMV::LNG::Marine::Natural Gas::OGV::Oilfield Services::Power Generation::Station Builder/Seller
Federal Mogul,Application Engineer Powertrain Energy,Technology Provider,Agriculture; Construction; Engine; Engineering; Equipment; Heavy Duty; Natural Gas; Oilfield Services; Power Generation
Federal Mogul,"VP, Controller & CAO",Technology Provider,Agriculture; Construction; Engine; Engineering; Equipment; Heavy Duty; Natural Gas; Oilfield Services; Power Generation
Federal Mogul,President & CEO,Technology Provider,Agriculture; Construction; Engine; Engineering; Equipment; Heavy Duty; Natural Gas; Oilfield Services; Power Generation
Puckett Machinery,General Manager,Technology Provider,Construction::Dealer::Equipment::Heavy Duty::Medium Duty::Off Road::Service Garage
H&E Equipment Services,Product Support VP,Fleet (On-Road),Construction::Equipment::Fleet Management::Rental Company
H&E Equipment Services,Oil & Gas Region Manager,Fleet (On-Road),Construction::Equipment::Fleet Management::Rental Company
H&E Equipment Services,EVP & COO,Fleet (On-Road),Construction::Equipment::Fleet Management::Rental Company
H&E Equipment Services,CFO,Fleet (On-Road),Construction::Equipment::Fleet Management::Rental Company
Federal Mogul,Account Manager,Technology Provider,Agriculture; Construction; Engine; Engineering; Equipment; Heavy Duty; Natural Gas; Oilfield Services; Power Generation
Honeywell,Solutions Consultant,Fleet (On-Road),Chemical Producer::Construction::E&P::Home Services::Manufacturer::Power Generation::Telecomm
Trinity Industries,President - Parts & Components Group,Technology Provider,Construction::Engineering::Equipment::Fleet Management::Industrial::LNG::Marine::Natural Gas::Propane::Rail::Storage
Trinity Industries,Senior Director Product Development,Technology Provider,Construction::Engineering::Equipment::Fleet Management::Industrial::LNG::Marine::Natural Gas::Propane::Rail::Storage
Trinity Industries,"Vice President, Engineering",Technology Provider,Construction::Engineering::Equipment::Fleet Management::Industrial::LNG::Marine::Natural Gas::Propane::Rail::Storage
Trinity Industries,"Vice President & Chief Financial Officer, CEMC Group",Technology Provider,Construction::Engineering::Equipment::Fleet Management::Industrial::LNG::Marine::Natural Gas::Propane::Rail::Storage
Trinity Industries,Business Development,Technology Provider,Construction::Engineering::Equipment::Fleet Management::Industrial::LNG::Marine::Natural Gas::Propane::Rail::Storage
Trinity Industries,"Executive Director, Corporate Strategy",Technology Provider,Construction::Engineering::Equipment::Fleet Management::Industrial::LNG::Marine::Natural Gas::Propane::Rail::Storage
American National Standards Institute Inc - ANSI,HR Director,Industry/Trade Group,Construction::Consultant::E&P::Engine::Non-Profit::Research
Hughes Bros.,Vice President/Business Manager,,Construction::Engineering::Power Generation
Randall-Reilly,"Director, Heavy Construction",,Concrete/Asphalt::Construction::Goods Movement::Heavy Duty
American Council of Engineering Companies,Minuteman Fund Gen Counsel,Industry/Trade Group,Association::Construction::E&P::Engineering::Marine
Weeks Marine,Chief Estimator,"Fleet (Marine, Rail, Mining, E&P)",Construction::End User::LMV::Marine::Off Road
Parsons Brinckerhoff,Project Manager,Technology Provider,Construction::Engineering::Marine
Kiewit,Director of Research,Fleet (On-Road),Construction::End User::Engineering::Equipment::E&P::Heavy Duty::Mining::Power Generation
Price Gregory,"Vice President, Alaska Division","Fleet (Marine, Rail, Mining, E&P)",Construction::Drilling::E&P::Heavy Duty::Pipeline
"Matthew & Stewart Co, Inc",Unknown,,Construction::Power Generation
Atlantic Caisson,Unknown,"Fleet (Marine, Rail, Mining, E&P)",Construction::Drilling::End User::Equipment
American Equipment & Fabricating,Unknown,Fleet (On-Road),Construction::Drilling::E&P::Engineering::Fleet::Manufacturer
Atlas Copco,Sales Manager,Technology Provider,CNG; Construction; Drill Rig; E&P; Equipment
Wartsila,"Power Drive Specialist, Ship Power Technology",Technology Provider,Construction::Engine::Engineering::Equipment::Fuel System::LMV::LNG::Marine::Natural Gas::OGV::Oilfield Services::Power Generation::Station Builder/Seller
Atlas Copco Energas GmbH,Sales Manager - Benelux & Iberia,Technology Provider,CNG::Construction::Drill Rig::E&P::Equipment
ABCO International,Managing Director,Fleet (On-Road),Construction::Consultant::Drill Rig::Equipment::Finance::Industrial::Oilfield Services
Acuity Brands,Technical Services Manager,Technology Provider,Construction::E&P::Fleet
Toromont CAT,"Vice President, Power Systems & Energy",Technology Provider,Construction::Dealer::Equipment::Heavy Duty::Medium Duty::Off Road::Rental Company::Service Garage
Toromont CAT,Consultant,Technology Provider,Construction::Dealer::Equipment::Heavy Duty::Medium Duty::Off Road::Rental Company::Service Garage
Arrow Construction Products Limited,Pres,Technology Provider,Construction::E&P::Oilfield Services
ADC,President,"Fleet (Marine, Rail, Mining, E&P)",Construction::Drilling::End User::Environmental Organization::Equipment::Fleet::Mining::Oilfield Services
All Peace Petroleum,President,"Fleet (Marine, Rail, Mining, E&P)",Construction::End User::Fleet::Oilfield Services
A. Wale Consulting,President,"Fleet (Marine, Rail, Mining, E&P)",Construction::Drilling::Oilfield Services
Advance Hoisting Systems,Owners,Technology Provider,Construction::E&P::End User::Equipment::Industrial::OEM
Allan R. Nelson Engineering,Consulting Engineer,"Fleet (Marine, Rail, Mining, E&P)",Construction::Drilling::E&P::End User::Engineering::Mining::Oilfield Services
Allan R. Nelson Engineering,Founder & Pres,"Fleet (Marine, Rail, Mining, E&P)",Construction::Drilling::E&P::End User::Engineering::Mining::Oilfield Services
Bantrel,Engineer,Consultant,Construction::E&P::End User::Engineering::Oilfield Services
AAZKA Services,Owner,"Fleet (Marine, Rail, Mining, E&P)",Construction::Drill Rig::End User::Oilfield Services::Pipeline
Arrow Construction Products Limited,Branch Manager & Outside Sales,Technology Provider,Construction::E&P::Oilfield Services
Ledcor Group,"President, Special Projects","Fleet (Marine, Rail, Mining, E&P)",Construction::End User::Engineering::Goods Movement::LMV::Marine::Mining::Oilfield Services
Boomers Services,President,"Fleet (Marine, Rail, Mining, E&P)",Construction::Drill Rig::End User::Oilfield Services
Resource Supervision,Owner/Operator,"Fleet (Marine, Rail, Mining, E&P)",Construction::Drill Rig::End User::Oilfield Services
Abracadabra Pipe Works,Owner,"Fleet (Marine, Rail, Mining, E&P)",Construction::Drilling::Oilfield Services
Finnegan Reclamation,President,"Fleet (Marine, Rail, Mining, E&P)",Construction::Drill Rig::End User::Oilfield Services
Burton Custom Applicators,Manager,"Fleet (Marine, Rail, Mining, E&P)",Construction::Drill Rig::End User::Oilfield Services
Celtic Pride Welding & Fabricating,President,"Fleet (Marine, Rail, Mining, E&P)",Construction::Drill Rig::End User::Oilfield Services
ARC Line Construction,General Manager,"Fleet (Marine, Rail, Mining, E&P)",Construction::Drill Rig::End User::Oilfield Services
Liberty Trucking,President,"Fleet (Marine, Rail, Mining, E&P)",Construction::Drill Rig::End User::Oilfield Services
P R Cooper - Geowelcon,President,"Fleet (Marine, Rail, Mining, E&P)",Construction::E&P::End User::Engineering::Oilfield Services
Acklands - Grainger,Vice President National Accounts,Technology Provider,Construction::E&P::End User::Industrial::Marine::Oilfield Services
All-Can Engineering & Surveys (1976) Limited,President,"Fleet (Marine, Rail, Mining, E&P)",Construction::Drilling::E&P::End User::Engineering::Mining::Oilfield Services
Kiewit,Area Manager,Fleet (On-Road),Construction::End User::Engineering::Equipment::E&P::Heavy Duty::Mining::Power Generation
RTL-Westcan Group of Companies,Unknown,Technology Provider,Construction::Equipment::Power Generation
RTL-Westcan Group of Companies,Unknown,Technology Provider,Construction::Equipment::Power Generation
Art Biddulph Contracting,Owner,"Fleet (Marine, Rail, Mining, E&P)",Construction::End User::Fleet::Mining::Oilfield Services
D.R. Woodson/Architect,architect,Fleet (On-Road),Construction::Power Generation
Ledcor Group,Communication Manager,"Fleet (Marine, Rail, Mining, E&P)",Construction::End User::Engineering::Goods Movement::LMV::Marine::Mining::Oilfield Services
Wartsila,Service Unit Director,Technology Provider,Construction::Engine::Engineering::Equipment::Fuel System::LMV::LNG::Marine::Natural Gas::OGV::Oilfield Services::Power Generation::Station Builder/Seller
Aventur Energy Corporation,President,"Fleet (Marine, Rail, Mining, E&P)",Construction::Drilling::Fleet::Oilfield Services
Ledcor Group,"Manager, Business Development","Fleet (Marine, Rail, Mining, E&P)",Construction::End User::Engineering::Goods Movement::LMV::Marine::Mining::Oilfield Services
Matco,Mining Manager,Technology Provider,Construction::Dealer::Equipment::Heavy Duty::Medium Duty::Off Road::Service Garage
Wartsila,Head of Fuel Gas Handling,Technology Provider,Construction::Engine::Engineering::Equipment::Fuel System::LMV::LNG::Marine::Natural Gas::OGV::Oilfield Services::Power Generation::Station Builder/Seller
Wartsila,Central America General Manager,Technology Provider,Construction::Engine::Engineering::Equipment::Fuel System::LMV::LNG::Marine::Natural Gas::OGV::Oilfield Services::Power Generation::Station Builder/Seller
Wartsila,Sales Manager Ship Power,Technology Provider,Construction::Engine::Engineering::Equipment::Fuel System::LMV::LNG::Marine::Natural Gas::OGV::Oilfield Services::Power Generation::Station Builder/Seller
Atlas Copco,VP Marketing,Technology Provider,CNG::Construction::Drill Rig::E&P::Equipment
Trinity Industries,Latin America Sales Manager,Technology Provider,Construction::Engineering::Equipment::Fleet Management::Industrial::LNG::Marine::Natural Gas::Propane::Rail::Storage
Vulcan Materials,Senior Technical Service Specialist,Public Agency,Construction::Power Generation
RIMCO,Rental Manager,Technology Provider,Construction::Dealer::Equipment::Heavy Duty::Medium Duty::Off Road::Service Garage
RIMCO,Unknown,Technology Provider,Construction::Dealer::Equipment::Heavy Duty::Medium Duty::Off Road::Service Garage
RIMCO,Unknown,Technology Provider,Construction::Dealer::Equipment::Heavy Duty::Medium Duty::Off Road::Service Garage
